node_name,n,class
EurOBIS,34017109,Europe
OBIS Australia,30715085,Australia
OBIS Canada,12973719,North America
OBIS USA,12834019,North America
"EurOBIS,OBIS UK",7879652,Europe
OBIS Secretariat,5344870,Europe
OBIS-SEAMAP,4995364,North America
AfrOBIS,3558349,Africa
Antarctic OBIS,2819494,Europe
Ocean Tracking Network,2449170,North America
OBIS Colombia,2405762,South America
SWP OBIS,2178575,New Zealand
Fish OBIS,1444969,North America
OBIS Japan,1056815,Asia
OBIS UK,765727,Europe
OBIS Brazil,532612,South America
Caribbean OBIS,418465,South America
Arctic OBIS,371917,Iceland
"EurOBIS,Oceans Past Initiative",338447,Europe
OBIS Argentina,206123,South America
OBIS Deep Sea,158767,Germany
OBIS ISA,137179,Global
IndOBIS,107036,Asia
MedOBIS,83630,Europe
SEA OBIS,63550,Asia
OBIS Malaysia,52500,Asia
NA,50332,NA
OBIS Black Sea,47417,Europe
"EurOBIS,OBIS Kenya",37515,Europe
OBIS China,23345,Asia
HAB OBIS,18980,Thematic
ESP OBIS,7177,South America
OBIS Kenya,4313,Africa
OBIS CPPS,3915,South America
OBIS Senegal,3560,Africa
OBIS Indonesia,3154,Asia
PEGO OBIS,3043,Asia